啊: aakk
带: ddfj
殆: dddk
代: ddry
贷: ddrr
袋: ddry
待: ddic
逮: ddzn
怠: ddsx
耽: djev
担: djfd
丹: djpa
单: djbl
郸: djbe
掸: ujfl
胆: djod
旦: djoa
氮: djqh
但: djrd
惮: daxl
淡: djdh
诞: djyz
弹: djgl
蛋: djvi
当: dhxe
挡: dhfe
党: dhxe
荡: dhcp
档: dhme
刀: dcvp
捣: dcfe
蹈: dczj
倒: dcrd
岛: dcpe
祷: dcpc
导: dcsc
到: dcad
稻: dchj
悼: dcxu
道: dczz
盗: dcdm
德: deix
得: dwic
的: dibu
蹬: dgza
灯: dghd
登: dgva
等: dgvc
瞪: dgoa
凳: dgvj
邓: dgye
堤: ditr
低: dird
滴: didk
迪: dizy
敌: diqw
笛: divy
狄: diqh
涤: didm
翟: vdxf
嫡: dink
抵: difd
底: digd
地: dity
蒂: dicj
第: divp
帝: diwj
弟: dibp
递: dizp
缔: disj
颠: dmur
掂: dmfk
滇: dmdb
碘: dmub
点: dmlh
典: dmlb
靛: dmfr
垫: dmft
电: dmlv
佃: tmrt
甸: dmbt
店: dmgk
惦: dmxk
奠: dmbd
淀: dmdr
殿: dmuy
碉: dnuk
叼: dnkd
雕: dnkf
凋: dndk
刁: dnva
掉: dnfu
吊: dnkj
钓: dnju
调: tnyk
跌: dpzu
爹: dpbx
碟: dpum
蝶: dpim
迭: dpzu
谍: dpym
叠: dpyq
丁: dkal
盯: dkod
叮: dkkd
钉: dkjd
顶: dkdr
鼎: dkov
锭: dkjr
定: dkbr
订: dkyd
丢: dqps
东: dsad
冬: dswd
董: dscv
懂: dsxv
动: dsel
栋: dsmd
侗: tsrk
恫: dsxk
冻: dsdd
洞: dsdk
兜: dzpe
抖: dzfu
斗: dzdu
陡: dzer
豆: dzaa
逗: dzza
痘: dzba
都: dzle
督: duuo
毒: dufm
犊: dund
独: duqi
读: duyd
堵: duto
睹: duoo
赌: duko
杜: dumt
镀: dujy
肚: duot
度: dugy
渡: dudy
妒: dunh
端: drle
短: drua
锻: drjy
段: drpy
断: drmj
缎: drsy
堆: dvtf
兑: dvbe
队: dver
对: dvyc
墩: dytw
吨: dykt
蹲: dyzc
敦: dyww
顿: dytr
囤: tykt
钝: dyjt
盾: dypo
遁: dyzo
掇: dofy
哆: dokx
多: doxx
夺: dodc
垛: dotm
躲: doum
朵: dojm
跺: dozm
舵: dovb
剁: dojd
惰: doxo
堕: hvet
蛾: eeiw
峨: eeew
鹅: eewn
俄: eerw
额: eeb
讹: eeyb
娥: eenw
恶: wuyx
厄: eeiv
扼: eefv
遏: eezv
鄂: eeke
饿: eeuw
恩: enkx
而: eral
儿: erpv
耳: eraa
尔: erdx
饵: erue
洱: erde
二: eraa
贰: eryr
发: favd
罚: fasd
筏: favg
伐: farg
乏: fapv
阀: famg
法: fads
珐: faws
藩: fjct
帆: fjjf
番: pjpt
翻: fjpx
樊: fjmd
矾: fjuf
钒: fjjf
繁: popx
凡: fjjd
烦: fjhr
反: fjpy
返: fjzy
范: fjcv
贩: fjky
犯: fjqv
饭: fjuy
泛: fjdf
坊: fhtf
芳: fhcf
方: fhdw
肪: fhof
房: fhhf
防: fhef
妨: fhnf
仿: fhrf
访: fhyf
纺: fhsf
放: fhfw
菲: fwcf
非: fwla
啡: fwkf
飞: fwvd
肥: fwob
匪: fwkf
诽: fwyf
吠: fwkq
肺: fwol
废: fwgd
沸: fwdf
费: fwfr
芬: ffcd
酚: ffyd
吩: ffkd
氛: ffqd
分: ffbd
纷: ffsd
坟: fftw
焚: ffmh
汾: ffdd
粉: ffmd
奋: ffdt
份: ffrd
忿: ffbx
愤: ffxr
粪: ffmb
丰: fgal
封: fgtc
枫: fgmx
蜂: fgif
峰: fgef
锋: fgjf
风: fgjx
疯: fgbx
烽: fghf
逢: fgzf
冯: fgdm
缝: fgsz
讽: fgyx
奉: fgfl
凤: fgjy
佛: furf
否: pibk
夫: fuan
敷: fufw
肤: fuof
孵: fulz
扶: fuff
拂: fuff
辐: fuit
幅: fujt
氟: fuqf
符: fuvc
伏: furq
俘: furz
服: fuoy
浮: fudz
涪: fudk
福: fupt
袱: fupq
弗: fuvl
甫: fuad
抚: fufw
辅: fuif
俯: furc
釜: fuba
斧: fubj
脯: fuof
腑: fuoc
府: fugc
腐: fugr
赴: futb
副: fuad
覆: fuxw
赋: fukv
复: fupw
傅: furc
付: furc
阜: fupu
父: fubx
腹: fuow
负: fudr
富: fubt
讣: fuyb
附: fuec
妇: fune
缚: fusc
咐: fukc
噶: gakv
嘎: gakg
该: gdyr
改: gdjw
概: gdmv
钙: gdjg
盖: gdym
溉: gddv
干: gjau
甘: gjna
杆: gjmg
柑: gjmg
竿: gjvg
肝: gjog
赶: gjtg
感: gjxx
秆: gjhg
敢: gjvw
赣: gjlr
冈: ghkx
刚: ghkd
钢: ghjx
缸: ghfg
肛: ghog
纲: ghsx
岗: ghex
港: ghds
杠: ghmg
篙: gcvk
皋: gcbu
高: gcwk
膏: gcwo
羔: gcyh
糕: gcmh
搞: gcfk
镐: gcjk
稿: gchk
告: gcnk
哥: gedk
歌: gedr
搁: gefk
戈: gead
鸽: gern
胳: geok
疙: gebq
割: gebd
革: genl
葛: gecv
格: gemk
蛤: haik
阁: gemk
隔: geel
铬: gejk
个: gerl
各: gewk
给: jisk
根: gfmg
跟: gfzg
耕: gglj
更: ggan
庚: gggn
羹: ggyd
埂: ggtg
耿: ggeh
梗: ggmg
工: gsaa
攻: gsgw
功: gsgl
恭: gscx
龚: gslb
供: gsrb
躬: gsug
公: gsbs
宫: gsbk
弓: gsvv
巩: gsgf
汞: gsgu
拱: gsfb
贡: gsgr
共: gscb
钩: gzjs
勾: gzbs
沟: gzds
苟: gzck
狗: gzqk
垢: gztk
构: gzms
购: gzks
够: gzbx
辜: guuu
菇: guck
咕: gukk
箍: guvj
估: gurk
沽: gudk
孤: guzg
姑: gunk
鼓: guuy
古: guuk
蛊: guim
骨: gulo
谷: gubk
股: guoy
故: guuw
顾: guir
固: gukk
雇: guhf
刮: gxqd
瓜: gxpn
剐: gxkd
寡: gxbd
挂: gxft
褂: gxpb
乖: gkqb
拐: gkfl
怪: gkxt
棺: grmk
关: grbt
官: grbk
冠: grbc
观: grye
管: grvk
馆: gruk
罐: grff
惯: grxr
灌: grdf
贯: grvr
光: glxw
广: glwp
逛: glzw
瑰: gvwg
规: gvfe
圭: gvtt
硅: gvut
归: gvle
龟: gvdv
闺: gvmt
轨: gvij
鬼: gvps
诡: gvyv
癸: gvvt
桂: gvmt
柜: jumj
跪: gvzv
贵: gvvr
刽: gvrd
辊: gyib
滚: gydy
棍: gymb
锅: gojn
郭: gowe
国: goky
果: goln
裹: gowy
过: gozc
哈: hakk
骸: hdgr
孩: hdzr
海: hddm
氦: hdqr
亥: hdwr
害: hdbk
骇: hdmr
酣: hjyg
憨: hjvx
邯: hjge
韩: hjuw
含: hjrk
涵: hjdk
寒: hjbd
函: hjlk
喊: hjkk
罕: hjbg
翰: hjux
撼: hjfx
捍: hjfg
旱: hjog
憾: hjxx
悍: hjxg
焊: hjhg
汗: hjdg
汉: hjdy
夯: hhdl
杭: hhmj
航: hhvj
壕: hctu
嚎: hcku
豪: hcwu
毫: hcwm
郝: hcte
好: hcnz
耗: hclm
号: hckv
浩: hcdk
呵: kekk
喝: yekv
荷: heck
菏: heck
核: hemr
禾: heqn
和: huhk
何: herk
合: herk
盒: herm
貉: movk
阂: hemr
河: hedk
涸: hedk
赫: hetd
褐: hepv
鹤: hedn
贺: helr
嘿: hwkh
黑: hwlh
痕: hfbg
很: hfig
狠: hfqg
恨: hfxg
哼: hgkl
亨: hgwl
横: hgmb
衡: hgii
恒: hgxg
轰: hsiy
哄: hskb
烘: hshb
虹: hsig
鸿: hsdn
洪: hsdb
宏: hsbs
弘: hsgs
红: hssg
喉: hzku
侯: hzru
猴: hzqu
吼: hzkv
厚: hziz
候: hzru
后: hzp
呼: hukh
乎: hupl
忽: huwx
瑚: huwo
壶: huuy
葫: huco
胡: huuo
蝴: huio
狐: huqg
糊: humo
湖: hudo
弧: hugg
虎: huhj
唬: hukj
护: hufh
互: huaa
沪: hudh
户: hudu
花: hxcb
哗: hxku
华: hxru
猾: hxqg
滑: hxdg
画: hxak
划: hxgd
化: hxrb
话: hxyk
槐: hkmg
徊: hkik
怀: hkxb
淮: hkdf
坏: hkt
欢: hryr
环: hrwb
桓: hrmg
还: hrzb
缓: hrsy
换: hrfd
患: hrix
唤: hrkd
痪: hrbd
豢: hrju
焕: hrhd
涣: hrdd
宦: hrbi
幻: hryv
荒: hlcv
慌: hlxv
黄: hlcb
磺: hlub
蝗: hliw
簧: hlvb
皇: hlbw
凰: hljw
惶: hlxw
煌: hlhw
晃: hlow
幌: hljw
恍: hlxw
谎: hlyv
灰: hvuh
挥: hvfi
辉: hvxi
徽: hviw
恢: hvxh
蛔: hvik
回: hvkk
毁: hvjy
悔: hvxm
慧: hvfx
卉: hvuc
惠: hvax
晦: hvom
贿: hvko
秽: hvhx
会: kkrs
烩: hvhs
汇: hvdk
讳: hvyw
诲: hvym
绘: hvss
荤: hyci
昏: hyuo
婚: hyno
魂: hyeg
浑: hydi
混: hydb
豁: hobk
活: hodk
伙: horh
火: hodr
获: hocq
或: hoga
惑: hogx
霍: hoyf
货: horr
祸: hopn
击: jiak
圾: jitj
基: jiqt
机: jimj
畸: jitk
稽: jiho
积: jihb
箕: jivb
肌: jioj
饥: jiuj
迹: jizd
激: jidw
讥: jiyj
鸡: jiyn
姬: jinl
绩: jisr
缉: jise
吉: jiuk
极: jimj
棘: jian
辑: jiie
籍: jivo
集: jirm
及: jipn
急: jidx
疾: jibu
汲: jidj
即: jige
嫉: jinu
级: jisj
挤: jifl
几: jipv
脊: jido
己: jivv
蓟: jicd
技: jify
冀: jilb
季: jihz
伎: qiry
祭: vdpx
剂: jiwd
悸: jixz
济: jidl
寄: jibk
寂: jiby
计: jiyu
记: jiyj
既: jigv
忌: jijx
际: jiex
妓: jiny
继: jisv
纪: jisj
嘉: jxuk
枷: jxmk
夹: jxan
佳: jxrt
家: jxbu
加: jxlk
荚: jxcj
颊: jxjr
贾: guxr
甲: jxll
钾: jxjj
假: jxry
稼: jxhu
价: jprl
架: jxlm
驾: jxlm
嫁: jxnu
歼: jmdq
监: jmlm
坚: jmlt
尖: jmxd
笺: jmvj
间: jmmo
煎: jmbh
兼: jmbn
肩: jmho
艰: jmyg
奸: jmng
缄: jmsk
茧: jmci
检: jmma
柬: jman
碱: jmuk
拣: jmfd
捡: jmfa
简: jmvo
俭: jmra
剪: jmbd
减: jmdk
荐: jmcz
槛: jmmm
鉴: jmlj
践: jmzj
贱: jmkj
见: jmke
键: jmjz
箭: jmvd
件: jmrn
健: jmrz
舰: jmve
剑: jmrd
饯: jmuj
渐: jmdj
溅: jmdj
涧: jmdo
建: jmzy
僵: jlra
姜: jlyn
将: jldc
浆: jldu
江: jldg
疆: jlga
蒋: jlcc
桨: jldm
奖: jldd
讲: jlyj
匠: jlkj
酱: jldy
降: xlel
蕉: jnch
椒: jnmy
礁: jnuh
焦: jnrh
胶: jnox
交: jnwx
郊: jnwe
浇: jndw
骄: jnml
娇: jnnl
嚼: jtkc
搅: jnfe
铰: jnjx
矫: jnul
侥: ycrw
脚: jnoe
狡: jnqx
角: jtdy
饺: jnux
缴: vosw
绞: jnsx
剿: jnvd
教: jnlw
酵: jnyz
轿: jnil
较: jnix
叫: jnkl
窖: jnbk
揭: qifv
接: jpfn
皆: jpbb
秸: jphk
街: jpii
阶: jpel
截: jpuf
劫: jptl
节: jpce
桔: jumk
杰: jpmh
捷: jpfr
睫: jpor
竭: jplv
洁: jpdk
结: jpsk
解: xpdn
姐: jpnq
戒: jpgc
藉: jico
芥: jpcl
界: jptl
借: jpro
介: jprl
疥: jpbl
诫: jpyc
届: jpuy
巾: jbll
筋: jbvl
斤: jbpl
金: jbra
今: jbrv
津: jbdy
襟: jbpx
紧: jblx
锦: jbjj
仅: jbry
谨: jbya
进: jbzj
靳: jbgj
晋: jbyo
禁: jbmx
近: jbzj
烬: jbhd
浸: jbdy
尽: jbid
劲: jkvl
荆: jkcd
兢: jkue
茎: jkcg
睛: jkoo
晶: jkoo
鲸: jkax
京: jkwx
惊: jkxx
精: jkmo
粳: jkmg
经: jks
井: jkal
警: jkck
景: jkox
颈: jkvr
静: jkfl
境: jkte
敬: jkcw
镜: jkje
径: jkig
痉: jkbg
靖: jklo
竟: jkle
竞: jkle
净: jkdl
炯: jshk
窘: jsb
揪: jqfh
究: jqbj
纠: jqsl
玖: jqwj
韭: jqfa
久: jqpn
灸: jqjh
九: jqpv
酒: jqdy
厩: jqiv
救: jqqw
旧: jqlo
臼: jqpa
舅: jqjl
咎: jqwk
就: jqwy
疚: jqbj
鞠: jugm
拘: jufk
狙: juqq
疽: jubq
居: juuk
驹: jumk
菊: jucm
局: juuk
咀: jukq
矩: juuj
举: juxl
沮: judq
聚: juen
拒: jufj
据: jufk
巨: juka
具: juqb
距: juzj
踞: juzk
锯: jujk
俱: jurb
句: gzbk
惧: juxb
炬: juhj
剧: juud
捐: jrfo
鹃: jrkn
娟: jrno
倦: jrrv
眷: jrjo
卷: jrjv
绢: jrso
撅: jtfr
攫: jtfy
抉: jtfg
掘: jtfi
倔: jtri
爵: jtpc
觉: jtxe
决: jtdg
诀: jtyg
绝: jtsb
均: jytd
菌: jych
钧: jyjd
军: jybi
君: jyyk
峻: jyew
俊: jyrw
竣: jylw
浚: xydw
郡: jyye
骏: jymw
喀: kakk
咖: kakk
卡: qxub
咯: kakk
开: kda
揩: kdfb
楷: kdmb
凯: kdej
慨: kdxv
刊: kjgd
堪: kjtv
勘: kjql
坎: kjtr
砍: kjur
看: kjuo
康: khgn
慷: khxn
糠: khmn
扛: khfg
抗: khfj
亢: khwj
炕: khhj
考: kclv
拷: kcfv
烤: kchv
靠: kcnf
坷: ketk
苛: keck
柯: kemk
棵: kemg
磕: keum
颗: kegr
科: kehu
壳: qnuj
咳: kekr
可: kedk
渴: kedv
克: keue
刻: kewd
客: kebk
课: keyg
肯: kfvo
啃: kfko
垦: kfgt
恳: kfgx
坑: kgtj
吭: kgkj
空: ksbg
恐: ksgx
孔: kszv
控: ksfg
抠: kzfx
口: kzla
扣: kzfk
寇: kzby
枯: kumk
哭: kukq
窟: kubi
苦: kuck
酷: kuy
库: kugi
裤: kupi
夸: kxd
垮: kxtk
挎: kxfk
跨: kxzk
胯: kxok
块: kktg
筷: kkvg
侩: kkrs
快: kkxg
宽: krb
款: krur
匡: klkw
筐: klvw
狂: klqw
框: klmw
矿: klug
眶: klow
旷: klog
况: klde
亏: kvev
盔: kvum
岿: kvee
窥: kvbe
葵: kvct
奎: kvdt
魁: kvgu
傀: kvrg
馈: kvur
愧: kvxg
溃: kvdr
坤: kytu
昆: kyob
捆: kyfm
困: kykm
括: kofk
扩: kofg
廓: koge
阔: komk
垃: latl
拉: lafl
喇: lakd
蜡: laio
腊: xioo
辣: lalu
啦: lakl
莱: ldcl
来: ldan
赖: ldur
蓝: ljcm
婪: ljmn
栏: ljms
拦: ljfs
篮: ljvm
阑: ljmj
兰: ljbs
澜: ljdj
谰: ljyj
揽: ljfe
览: ljle
懒: ljxr
缆: ljse
烂: ljhs
滥: ljdm
琅: lhwl
榔: lhme
狼: lhql
廊: lhge
郎: lhde
朗: lhdo
浪: lhdl
捞: lcfl
劳: lccl
牢: lcbn
老: lclb
佬: lcrb
姥: munb
酪: lcyk
烙: lohk
涝: lcdl
勒: lwgl
乐: lcpd
雷: lwyt
镭: lwjt
蕾: lwct
磊: lwuu
累: lwtx
儡: lwrt
垒: lwst
擂: lwft
肋: lwol
类: lwmd
泪: lwdo
棱: lkmw
楞: lgmf
冷: lgds
厘: liil
梨: lihm
犁: lihn
黎: lihu
篱: livd
狸: liql
离: liwd
漓: lidd
理: liwl
李: limz
里: lila
鲤: lial
礼: lipv
莉: licd
荔: licl
吏: lian
栗: lixm
丽: liad
厉: liiw
励: liil
砾: liul
历: liil
利: lihd
傈: lirm
例: lird
俐: lird
痢: libd
立: liwa
粒: liml
沥: lidl
隶: livn
力: livp
璃: liwd
哩: likl
俩: llrl
联: lmet
莲: lmcz
连: lmzi
镰: lmjn
廉: lmgn
怜: lmxs
涟: lmdz
帘: lmbj
敛: lmrw
脸: lmoa
链: lmjz
恋: lmwx
炼: lmhd
练: lmsd
粮: llml
凉: lldx
梁: lldm
粱: lldm
良: lldg
两: llad
辆: llil
量: llol
晾: llox
亮: llwj
谅: llyx
撩: lnfx
聊: lnee
僚: lnrx
疗: lnbl
燎: lnhx
寥: lnbp
辽: lnzl
潦: lndx
了: lnvl
撂: lnfk
镣: lnjx
廖: lngp
料: lnmu
列: lpdd
裂: lpdy
烈: lpdh
劣: lpul
猎: lpqo
琳: lbwm
林: lbmm
磷: lbul
霖: lbym
临: lbll
邻: lbre
鳞: lbal
淋: lbdm
凛: lbdx
赁: lbrr
吝: lbwk
拎: lbfs
玲: lkws
菱: lkcw
零: lkys
龄: lkvs
铃: lkjs
伶: lkrs
羚: lkys
凌: lkdw
灵: lkeh
陵: lkew
岭: lkes
领: lkrr
另: lkkl
令: lkrs
溜: lqdt
琉: lqwv
榴: lqmt
硫: lquv
馏: lqut
留: lqpt
刘: lqwd
瘤: lqbt
流: lqdv
柳: lqme
六: luwb
龙: lsud
聋: lsle
咙: lskl
笼: lsvl
窿: lsbu
隆: lseu
垄: lslt
拢: lsfl
陇: lsel
楼: lzmn
娄: lzmn
搂: lzfn
篓: lzvn
漏: lzdy
陋: lzev
芦: luch
卢: lulu
颅: lulr
庐: lugh
炉: luhh
掳: lufl
卤: lulx
虏: luhl
鲁: luao
麓: lumb
碌: luuu
露: luyk
路: luzk
赂: lukk
鹿: lugb
潞: ludk
禄: lupu
录: lueu
陆: luej
戮: luxg
驴: lvmh
吕: lvkk
铝: lvjk
侣: lvrk
旅: lvfn
履: lvuw
屡: lvun
缕: lvsn
虑: lvhx
氯: lvqu
律: lviy
率: ukwu
滤: lvdx
绿: lusu
峦: lrwe
挛: lrwu
孪: lrwz
滦: lrdm
卵: lrpd
乱: lrqv
掠: ltfx
略: lttk
抡: lyfb
轮: lyib
伦: lyrb
仑: lyrb
沦: lydb
纶: lysb
论: lyyb
萝: locx
螺: loix
罗: losx
逻: lozx
锣: lojx
箩: lovx
骡: lomx
裸: lopg
落: lock
洛: lodk
骆: lomk
络: losk
妈: manm
麻: magm
玛: mawm
码: maum
蚂: maim
马: mava
骂: makm
嘛: makm
吗: makm
埋: mjtl
买: mdvd
麦: mdfw
卖: mdud
迈: mdzw
脉: mooy
瞒: mjol
馒: mjuy
蛮: mjwi
满: mjdl
蔓: wjcy
曼: mjoy
慢: mjxy
漫: mjdy
谩: mjyy
芒: mhcw
茫: mhcw
盲: mhwo
氓: mhwm
忙: mhxw
莽: mhcc
猫: mcqt
茅: mccp
锚: mcjt
毛: mcpv
矛: mcsp
铆: mcje
卯: mcpe
茂: mccw
冒: moko
帽: mcjo
貌: mcve
贸: mcpr
么: mops
玫: mwww
枚: mwmw
梅: mwmm
酶: mwym
霉: mwym
煤: mwhm
没: mody
眉: mwvo
媒: mwnm
镁: mwjd
每: mwpm
美: mwyd
昧: mwow
寐: mwbw
妹: mwnw
媚: mwno
门: mfdv
闷: mfmx
们: mfrm
萌: mgco
蒙: mgcn
檬: mgmn
盟: mgom
锰: mgjm
猛: mgqm
梦: mgmx
孟: mgzm
眯: miom
醚: miyz
靡: migf
糜: mwgm
迷: mizm
谜: miyz
弥: migx
米: midm
秘: mihb
觅: mipe
泌: midb
蜜: mibi
密: mibe
幂: mibj
棉: mmmj
眠: mmom
绵: mmsj
冕: mmkv
免: mmdv
勉: mmdl
娩: mmnv
缅: mmsm
面: mmaa
苗: mnct
描: mnft
瞄: mnot
藐: mnce
秒: mnhu
渺: mndu
庙: mngy
妙: mnnu
蔑: mpcu
灭: mpah
民: mbvv
抿: mbfm
皿: mbla
敏: mbpw
悯: mbxw
闽: mbmi
明: mkoo
螟: mkib
鸣: mkkn
铭: mkjk
名: mkxk
命: mkre
谬: mqyp
摸: mofd
摹: mocu
蘑: mocu
模: mumd
膜: mood
磨: mogu
摩: mogu
魔: mogg
抹: mofm
末: moan
莫: mocd
墨: moht
默: mohq
沫: modm
漠: modd
寞: mobd
陌: moeb
谋: mzym
牟: mzsn
某: mzgm
拇: mufm
牡: munt
亩: muwt
姆: munm
母: muvd
墓: muct
暮: muco
幕: mucj
募: mucl
慕: mucx
木: muan
目: muka
睦: muot
牧: munw
穆: muhp
拿: naru
哪: nwke
呐: nekn
钠: najn
那: nave
娜: none
纳: nasn
氖: ndqn
乃: ndvp
奶: ndnn
耐: ndec
奈: nddx
南: njug
男: njtl
难: njyf
囊: nhay
挠: ncfw
脑: ncok
恼: ncxk
闹: ncmj
淖: vodu
呢: nikb
馁: nwun
内: nwld
嫩: nfnw
能: ngsb
妮: ninb
霓: niye
倪: nire
泥: nidb
尼: niub
拟: nifr
你: nirx
匿: nikk
腻: nior
逆: nizp
溺: nndd
蔫: nmch
拈: nmfk
年: nmpl
碾: nmun
撵: nmfi
捻: nmfx
念: nmrx
娘: nlnl
酿: nlyl
鸟: nnwd
尿: svuu
捏: npft
