亍: iuel
鄣: vhle
鄱: pope
鄯: ujye
鄹: zzee
酃: lkye
酆: fgfe
刍: iude
奂: hrdd
劢: mdwl
劬: qubl
劭: ucdl
劾: hewl
哿: gelk
勐: mgzl
勖: xukl
勰: xplx
叟: szpy
燮: xpwy
矍: jtoy
凼: dhuk
鬯: ihxb
弁: bmsc
畚: bfst
巯: qqvv
坌: bfbt
垩: eeyt
垡: fart
塾: uuwt
墼: jiit
壅: yswt
壑: helt
圩: xuty
圬: wutk
圪: getq
圳: vfti
圹: kltg
圮: pitj
圯: yits
坜: litl
圻: ybtj
坂: bjty
坩: gjtg
坫: dmtk
垆: lutu
坼: ieti
坻: iitd
坨: totb
坭: nitb
坳: aotl
垭: yaty
垤: dptt
垌: dstk
垲: kdtj
埏: yjtz
垧: uhtk
垴: nctk
垓: gdtr
垠: ybtg
埕: igtw
埘: uitc
埚: gotn
埙: xytr
埒: lptc
垸: hrte
埴: vitq
埯: antd
埸: yitw
埤: pitu
埝: nmtx
堋: pgto
堍: tutd
埽: sctj
埭: ddtn
堞: dptm
堙: ybtt
塄: lgtf
堠: hztu
塥: getl
塬: yrtx
墁: mjty
墉: ystl
墚: lltm
墀: iitn
馨: xbuo
鼙: piuu
懿: yiux
艽: qqcj
艿: ndcn
芏: duct
芊: qmcq
芨: jicj
芄: wjcw
芎: xscg
芑: qicj
芗: xlcx
芙: fucf
芫: yrce
芸: yycs
芾: fwcl
芰: jicy
苈: licl
苊: eecv
苣: jucj
芘: bicb
芷: vicv
芮: rvcn
苋: xmce
苌: ihci
苁: cscr
芩: qbcv
芴: wucw
芡: qmcr
芪: qicu
芟: ujcy
苄: bmcb
苎: vuca
芤: kzcv
苡: yicr
茉: mocm
苷: gjcg
苤: ppcp
茏: lscl
苜: muco
苴: jucq
苒: rjcr
苘: qkck
茌: iicu
苻: fucc
苓: lkcs
茑: nncn
茚: ybce
茆: mcce
茔: ykct
茕: qscu
苠: mbcm
苕: ucck
茜: xicx
荑: yicy
荛: rccw
荜: bicu
茈: zicb
莒: juck
茼: tsck
茴: hvck
茱: vucv
莛: tkcz
荞: qncl
茯: fucq
荏: rfcr
荇: xkci
荃: qrcw
荟: hvcs
荀: xyco
茗: mkck
荠: qicl
茭: jncx
茺: isce
茳: jlcg
荦: locn
荥: ykcu
荨: xycc
茛: gfcg
荩: jbcd
荬: mdcd
荪: sycx
荭: hscg
荮: vzcc
莰: kjcr
荸: bicz
莳: uicc
莴: wocn
莠: yzcn
莪: eecw
莓: mwcm
莜: yzcw
莅: licl
荼: tuch
莶: xmca
莩: fucz
荽: svcn
莸: yzcy
荻: dich
莘: xbcu
莞: grce
莨: lhcl
莺: ykcn
莼: iyct
菁: jkco
萁: qicb
菥: xicj
菘: sscs
堇: jbna
萘: ndcx
萋: qicn
菝: bacd
菽: uucy
菖: ihco
萜: tpck
萸: yucy
萑: hrcf
萆: bicu
菔: fucy
菟: tucd
萏: djcj
萃: cvcu
菹: zucq
菪: dhcu
菅: jmck
菀: yycv
萦: ykcx
菰: gucg
菡: hjck
葜: qxcd
葑: fgcc
葚: ufcv
葙: xlco
葳: wwcn
蒇: ijcr
蒈: kdcb
葺: qice
蒉: kvcr
葸: xicx
萼: eeck
葆: bccm
葩: pacb
葶: tkcd
蒌: lzcn
蒎: pdcn
萱: xrcg
葭: jxcy
蓁: vfch
蓍: uico
蓐: rucc
蓦: mocm
蒽: encx
蓓: bwck
蓊: wgcx
蒿: hcck
蒺: jicu
蓠: licd
蒡: bhcf
蒹: jmcn
蒴: uoco
蒗: lhcl
蓥: ykcj
蓣: yucr
蔌: sucr
甍: mgcw
蔸: dzce
蓰: xicr
蔹: lmcw
蔟: cucu
蔺: lbcf
蕖: qucm
蔻: kzcy
蓿: xucb
蓼: lucp
蕙: hvcx
蕈: xycu
蕨: jtcr
蕤: rvcu
蕞: zvcy
蕺: jica
瞢: mgco
蕃: fjct
蕲: qicj
蕻: hscb
薤: xpcj
薨: hscb
薇: wwcw
薏: yicx
蕹: wgcf
薮: szcw
薜: bicu
薅: hccc
薹: tdct
薷: ruce
薰: xych
藓: xmcy
藁: gccm
藜: licu
藿: hocf
蘧: qucz
蘅: hgci
蘩: fjcx
蘖: npcm
蘼: micf
弈: yiwc
夼: kldi
奁: lmdx
耷: dade
奕: yiwd
奚: xipd
奘: zhpd
匏: pcds
尢: yzuv
尥: lnuu
尬: gayl
尴: gjym
扪: mffm
抟: trfv
抻: iffu
拊: fufc
拗: nqfl
拮: jxfk
拶: zjfx
挹: yifb
捋: lvfc
捃: jyfk
掭: tmfx
揶: yefe
捱: aift
捺: nafx
掎: jifk
掴: gofy
捭: bdfu
掬: jufm
掊: pzfk
捩: lpfq
掮: qmfo
掼: grfr
揸: vafd
揠: yafn
揿: qbfr
揄: yufd
摒: bkfk
揆: kvft
掾: yrfu
摅: uufx
摁: enfx
搋: ikfj
搛: jmfn
搠: uofo
搌: vjfn
搦: nofd
搡: shfm
摞: lofx
撄: ykfn
摭: vifh
撖: hjfw
撷: xpfr
撸: lufo
撙: zyfc
撺: crfi
擀: gjfg
擐: hrfy
擤: xkfl
擢: voff
攉: hoff
攥: zrfx
攮: nhfy
弋: yiad
忒: tvyx
弑: uixg
卟: bukb
叱: iikb
叽: jikj
叩: kzke
叨: tckd
叻: lekl
吒: vakq
吖: yaky
吆: ycky
呋: fukf
呒: omkw
呓: yikv
呔: tdkt
呖: likl
呃: eekv
吡: pikb
呗: bwkr
呙: wokn
吣: qbkx
吲: ybky
咂: zakj
咔: kakb
呷: xxkj
呱: gxkg
呤: lkks
咚: dskd
咛: nkkd
咄: doki
呶: ncky
呦: yzkl
咝: siks
哐: klkw
哂: ufkx
咴: hvkh
哒: dakz
咧: lpkd
咦: yiky
哓: xnkw
哔: biku
呲: zikb
咣: glkw
哕: hvkx
咻: xqkm
咿: yiky
哌: pdkn
哙: kkks
哚: dokm
咩: mpky
咪: mikm
咤: vakq
哝: nskn
哏: hfkg
哞: mzkn
唛: mdkw
哧: iikd
唠: lckl
哽: ggkg
唔: wukk
哳: vakj
唢: sokr
唣: zckq
唏: xikj
唑: zokt
唧: jike
唪: fgkl
啧: zekr
喏: rekk
喵: mnkt
啉: ljkm
啭: vrkv
啁: vzkk
啕: tckf
唿: hukx
啐: qiku
唼: uakn
唷: yoko
啖: djkh
啵: boky
啶: dkkr
啷: lhke
唳: likq
唰: uxkd
啜: ioky
喋: vakm
嗒: takk
喃: njkg
喱: likl
喹: kvkt
喈: jpkb
喁: ysky
喟: kvko
啾: jqkh
嗖: szky
喑: ybko
啻: iiwk
嗟: jpkg
喽: lzkn
喾: kuxk
喔: wokt
喙: hvku
嗪: qbkh
嗷: aokw
嗉: sukx
嘟: duke
嗑: kekm
嗫: npky
嗬: hekk
嗔: ifkb
嗦: sokx
嗝: gekl
嗄: uakw
嗯: enkx
嗥: hcku
嗲: dxkx
嗳: aiky
嗌: yikm
嗍: soko
嗨: hdkm
嗵: tskz
嗤: iiki
辔: pwsk
嘞: lwkl
嘈: ccko
嘌: pnkx
嘁: qikx
嘤: ykkn
嘣: bgko
嗾: szku
嘀: dikk
嘧: mike
嘭: pgkp
噘: jtkr
嘹: lnkx
噗: pukn
嘬: zoky
噍: jnkh
噢: ookd
噙: qbkd
噜: luko
噌: cgko
噔: dgka
嚆: hckk
噤: jbkx
噱: xtku
噫: yikx
噻: sdkt
噼: piku
嚅: ruke
嚓: iakx
嚯: hokf
囔: nhky
囝: jmkz
囡: njkn
囵: lykb
囫: hukw
囹: lkks
囿: yzko
圄: yukk
圊: qkko
圉: yukg
圜: yrky
帏: wwjw
帙: viju
帔: pwjy
帑: nunj
帱: izjc
帻: zejr
帼: gojy
帷: wwjf
幄: wojt
幔: mjjy
幛: vhju
幞: fujn
幡: fjjt
岌: jiej
屺: qiej
岍: qmek
岐: qiey
岖: quex
岈: yaey
岘: xmee
岙: aoye
岑: cfe
岚: ljex
岜: baeb
岵: huek
岢: keek
岽: dsed
岬: jxej
岫: xqey
岱: ddre
岣: gzek
峁: mcee
岷: mbem
峄: yiel
峒: tsek
峤: jnel
峋: xyeo
峥: vgel
崂: lcel
崃: ldel
崧: sses
崦: yjed
崮: guek
崤: xneo
崞: goez
崆: kseg
崛: jtei
嵘: rsem
崾: ycen
崴: wwen
崽: zdex
嵬: wweg
嵛: yued
嵯: coeg
嵝: lzen
嵫: ziey
嵋: mweo
嵊: ugen
嵩: ssek
嵴: jieo
嶂: vheu
嶙: lbel
嶝: dgea
豳: bbuu
嶷: yier
巅: dmer
彳: iipr
彷: fhif
徂: cuiq
徇: xyio
徉: yhiy
徕: ldil
徙: xiir
徜: ihik
徨: hliw
徭: ycif
徵: viiw
徼: jniw
衢: quii
犰: qqqj
犴: hjqg
犷: glqg
犸: maqm
狃: nqqi
狁: yyqe
狎: xxqj
狍: pcqs
狒: fwqf
狨: rsqu
狯: kkqs
狩: uzqc
狲: syqx
狴: biqt
狷: jrqo
猁: liqd
狳: yuqh
猃: xmqa
狺: ybqk
狻: srqw
猗: yiqk
猡: loqx
猊: niqe
猞: ueqk
猝: cuqu
猕: miqx
猢: huqo
猹: iaqd
猥: wwqn
猬: wwqo
猱: ncqm
獐: vhqu
獍: jkqe
獗: jtqr
獠: lnqx
獬: xpqn
獯: xyqh
獾: hrqf
舛: irxl
夥: hogx
飧: syxl
夤: ybxb
饧: xkup
饨: tyut
饩: xiuq
饪: rfur
饫: yuuy
饬: iiul
饴: yiuk
饷: xluk
饽: bouz
馄: hyub
馇: iaud
馊: szuy
馍: moud
馐: xqui
馑: jbua
馓: sjuw
馔: vrub
馕: nhuy
庑: wugw
庋: gvgy
庖: pcgs
庥: xqgm
庠: xlgy
庹: togi
庵: angd
庾: yugy
庳: bwgu
赓: gggr
廒: aogw
廑: qbga
廛: ijgt
廨: xpgn
廪: lbgx
膺: ykgo
忉: dcxd
忖: cyxc
忏: ijxq
怃: wuxw
忮: vixy
怄: ouxx
忡: isxv
忤: wuxw
忾: xixq
怅: ihxi
怆: ilxv
忪: vsxs
忭: bmxb
忸: nqxi
怙: huxk
怵: iuxu
怦: pgxp
怛: daxd
怏: yhxy
怍: zoxv
怩: nixb
怫: fuxf
怊: icxk
怿: yixl
怡: yixk
恸: tsxl
恹: yjxq
恻: cexd
恺: kdxj
恂: xyxo
恪: kexk
恽: yyxi
悖: bwxz
悚: ssxu
悭: qmxt
悝: lixl
悃: kyxm
悒: yixb
悌: tixp
悛: qrxw
惬: qpxj
悻: xkxg
悱: fwxf
惝: thxk
惘: whxw
惆: izxk
惚: huxx
悴: cvxu
愠: yyxm
愦: kvxr
愕: eexk
愣: lgxf
惴: vvxe
愀: qnxh
愎: bixw
愫: suxx
慊: qpxn
慵: ysxl
憬: jkxx
憔: qnxh
憧: isxl
憷: iuxr
懔: lbxx
懵: mgxo
忝: tmtx
隳: doex
闩: urma
闫: yjms
闱: wwmw
闳: hsms
闵: mbmw
闶: khmj
闼: tamz
闾: lvmk
阃: kymm
阄: jqmv
阆: lhml
阈: yuma
阊: ihmo
阋: xime
阌: wfmy
阍: hymo
阏: eemd
阒: qumq
阕: qtmt
阖: hemm
阗: tmmb
阙: qtmr
阚: kjmw
爿: pjvp
戕: qlpg
汔: qidq
汜: sids
汊: iadi
沣: fgdf
沅: yrde
沐: mudm
沔: mmdv
沌: dydt
汨: mido
汩: yudo
汴: bmdb
汶: wfdw
沆: hhdj
沩: wwdw
泐: ledl
泔: gjdg
沭: uudu
泷: lsdl
泸: ludu
泱: yhdy
泗: side
泠: lkds
泖: mcde
泺: lodl
泫: xrdy
泮: pjdb
沱: todb
泓: hsds
泯: mbdm
泾: jkdg
洹: hrdg
洧: wwdo
洌: lpdd
浃: jxdj
浈: vfdr
洇: ybdd
洄: hvdk
洙: vudv
洎: jidz
洫: xudx
浍: hvds
洮: tcdd
洵: xydo
洚: jldl
浏: lqdd
浒: xudw
浔: xydc
洳: rudk
涑: sudu
浯: wudk
涞: lddl
涠: wwdw
浞: vodr
涓: jrdo
涔: cfdv
浜: bhdb
浠: xidj
浼: mwdv
浣: hrde
渚: vudo
淇: qidb
淅: xidj
淞: ssds
渎: dudd
涿: vodn
淠: pidl
渑: ugdd
淦: gjdj
淝: fwdb
淙: csdx
涫: grdk
渌: ludu
涮: urdd
渫: xpdm
湮: yjdt
湎: mmdm
湫: qqdh
溲: szdy
湟: hldw
溆: xudy
湓: pfdm
湔: jmdd
渲: xrdg
渥: wodt
湄: mwdo
滟: yjdb
溱: vfdh
溘: kedm
滠: uedy
漭: mhdc
滢: ykdy
溥: pudc
溧: lidm
溽: rudc
溻: tadx
溷: hydu
滗: bidm
溴: xqdq
滏: fuda
溏: thdk
滂: phdf
溟: mkdb
潢: hldb
潆: ykdx
潇: xnds
漤: ljdn
漕: ccdo
滹: hudh
漯: tadx
漶: hrdx
潋: lmdw
潴: vudo
漪: yidk
漉: ludb
漩: xrdr
澉: gjdw
澍: vudc
澌: sidj
潸: ujdo
潲: ucdo
潼: tsdl
潺: ijdz
濑: lddr
濉: svdf
澧: lida
澹: djdk
澶: ijdd
濂: lmdn
濡: rude
濮: pudn
濞: pidl
濠: hcdu
濯: vodf
瀚: hjdx
瀣: xpdj
瀛: ykdf
瀹: ytdc
瀵: ffdb
灏: hcdr
灞: bado
宄: gvbj
宕: dhbu
宓: mibb
宥: yzbo
宸: ifbn
甯: nkby
骞: qmbm
搴: qmbu
寤: wubk
寮: lnbx
褰: qmby
寰: hrby
蹇: jmbr
謇: jmbk
迓: yazy
迕: wuzw
迥: jszk
迮: zezv
迤: yizy
迩: erzx
迦: jxzk
迳: jkzg
迨: ddzk
逅: hzzk
逄: phzl
逋: buzf
逦: lizl
逑: qqzq
逍: xnzo
逖: tizh
逡: qyzw
逵: kvzt
逶: wwzn
逭: hrzk
逯: luzu
遄: irze
遑: hlzw
遒: qqzy
遐: xxzy
遨: aozw
遘: gzzr
遢: tazx
遛: lqzt
暹: xmzf
遴: lbzl
遽: juzu
邂: xpzn
邈: mnze
邃: svzu
邋: lazv
彗: hvfe
彖: trvu
彘: vivb
尻: kcuj
咫: viib
屐: jiuy
屙: eeuk
孱: ijuz
屣: xiur
屦: juun
羼: ijuy
弩: nung
弭: mige
艴: fufb
弼: bigg
鬻: yugl
妁: uonu
妃: fwnj
妍: yjnk
妩: wunw
妪: yunx
妣: binb
妗: jbnv
姊: zinp
妫: gvnw
妞: nqni
妤: yunl
姒: sinr
妲: dand
妯: vzny
姗: ujnc
妾: qpln
娅: yany
娆: rcnw
姝: uunv
娈: lrwn
姣: xnnx
姘: pbnk
姹: ianq
娌: linl
娉: pknv
娲: wann
娴: xmnm
娑: sodn
娣: dinp
娓: wwnm
婀: eenk
婧: jkno
婊: bnny
婕: jpnr
娼: ihno
婢: binu
婵: ijnl
胬: nunr
媪: aonm
媛: yrny
婷: tknd
婺: wusn
媾: gznr
嫫: mond
媲: pinb
嫒: ainy
嫔: pbnb
媸: iini
嫠: liwn
嫣: yjnh
嫱: qlnk
嫖: pnnx
嫦: ihnj
嫘: lwnx
嫜: vhnu
嬉: xink
嬗: ujnd
嬖: biun
嬲: nntl
嬷: monm
孀: ulno
尕: ganx
尜: gaxx
孚: fupz
孥: nunz
孳: zibz
孑: jpva
孓: jtvn
孢: bczs
驵: zhmq
驷: sime
驸: fumc
驺: zzme
驿: yiml
驽: nunm
骀: tdmk
骁: xnmw
骅: hxmu
骈: pmmk
骊: liml
骐: qimb
骒: kemg
骓: vvmf
骖: cjmp
骘: viem
骛: wusm
骜: aofm
骝: lqmt
骟: ujmx
骠: pnmx
骢: csmx
骣: ijmz
骥: jimb
骧: xlmy
纡: yusy
纣: vzsc
纥: hesq
纨: wjsw
纩: klsg
纭: yyss
纰: pisb
纾: uusl
绀: gjsg
绁: xpsu
绂: fusd
绉: vzse
绋: fusf
绌: iusi
绐: ddsk
绔: kusk
绗: hhsi
绛: jlsl
绠: ggsg
绡: xnso
绨: tisp
绫: lksw
绮: qisk
绯: fwsf
绱: uhsk
绲: gysb
绶: uzsy
绺: lqsk
绻: qrsv
绾: wjsk
缁: zist
缂: kesg
缃: xlso
缇: tisr
缈: mnsu
缌: sisx
缑: gzsu
缒: vvsz
缗: mbso
缙: jbso
缜: vfsb
缛: rusc
缟: gcsk
缡: lisd
缢: yism
缣: jmsn
缤: bbsb
缥: pnsx
缦: mjsy
缧: lwsx
缪: mzsp
缫: scsg
缬: xpsr
缭: lnsx
缯: zgso
缰: jlsa
缱: qmsz
缲: scsm
缳: hrsy
缵: zrsr
幺: ycvs
畿: jiyt
甾: zdvt
邕: ysvb
玎: dkwd
玑: jiwj
玮: wwww
玢: ffwd
玟: wfww
珏: jtwy
珂: kewk
珑: lswl
玷: dmwk
玳: ddwy
珀: powb
珉: mbwm
珈: jxwk
珥: erwe
珙: gswb
顼: xuwr
琊: yawe
珩: hhwi
珧: ycwd
珞: lowk
玺: xidy
珲: hywi
琏: lmwz
琪: qiwb
瑛: ykwy
琦: qiwk
琥: huwj
琨: kywb
琰: yjwh
琮: cswx
琬: wjwv
琛: ifwm
琚: juwk
瑁: mcwo
瑜: yuwd
瑗: yrwy
瑕: xxwy
瑙: ncwx
瑷: aiwy
瑭: thwk
瑾: jbwa
璜: hlwb
璎: ykwn
璀: cvwf
璁: cswx
璇: xrwr
璋: vhwu
璞: puwn
璨: cjwm
璩: quwu
璐: luwk
璧: biuy
瓒: zjwr
璺: wfpy
韪: wwow
韫: yywm
韬: tcwj
杌: wumw
杓: ucmu
杞: qimj
杈: iami
杩: mamm
枥: liml
枇: pimb
杪: mnmu
杳: ycmo
枘: rvmn
枧: jmme
杵: iumw
枨: igmi
枞: zsmr
枭: xnpm
枋: fhmf
杷: pamb
杼: vuml
柰: ndmx
栉: vime
柘: vemu
栊: lsml
柩: jqmj
枰: pkmp
栌: lumu
柙: xxmj
枵: xnmv
柚: yzmy
枳: vimb
柝: tomi
栀: vimv
柃: lkms
枸: gzmk
柢: dimd
栎: ytml
柁: tomb
柽: igmt
栲: kcmv
栳: lcmb
桠: yamy
桡: rcmw
桎: vimt
桢: vfmr
桄: glmw
桤: qimj
梃: tkmz
栝: gxmk
桕: jqmj
桦: hxmu
桁: hhmi
桧: hvms
桀: jpxm
栾: lrwm
桊: jrjm
桉: anmn
栩: xumx
梵: fjmf
梏: gumk
桴: fumz
桷: jtmy
梓: zimu
桫: somu
棂: lkmh
楮: iumo
棼: ffmd
椟: dumd
椠: qmim
棹: vcmu
椤: lomx
棰: ivmi
椋: llmx
椁: gomz
楗: jmmz
棣: timn
椐: jumk
椹: vfmv
楠: njmg
楂: vamd
楝: lmmj
榄: ljme
楫: jime
楸: qqmh
椴: drmy
槌: ivmz
榇: ifmm
榈: lvmk
槎: iamg
榉: juml
楦: xrmg
楣: mwmo
楹: ykmm
榛: vfmh
榧: fwmf
榻: tamx
榫: symu
榭: xpmc
槔: gcmu
榱: cvmy
槁: gcmk
槊: uobm
槟: bkmb
榕: rsmk
槠: vumo
榍: xpmo
槿: jbma
樯: qlmk
槭: qimx
樗: iumk
樘: thmt
橥: vuqm
槲: humu
橄: gjmw
樾: ytmv
檠: qkcm
橐: toam
橛: jtmr
樵: qnmh
檎: qbmd
橹: lumo
樽: zymc
樨: ximn
橘: jumk
橼: yrmu
檑: lwmt
檐: yjmk
檩: lbmx
檗: boum
檫: iamx
猷: yzbq
獒: aofq
殁: mody
殂: cudq
殇: uhdp
殄: tmdp
殒: yydr
殓: lmda
殍: pndz
殚: djdl
殛: jida
殡: bbdb
殪: yida
轫: rfir
轭: eeiv
轱: guik
轲: keik
轳: luiu
轵: viib
轶: yiiu
轸: vfip
轷: huih
轹: liil
轺: ycik
轼: uiig
轾: viit
辁: qriw
辂: luik
辄: veiv
辇: nmfi
辋: whiw
辍: ioiy
辎: ziit
辏: czit
辘: luib
辚: lbil
戋: jmad
戗: qlrg
戛: jxag
戟: jiug
戢: jikd
戡: kjqg
戥: dgog
戤: gdng
戬: jmyg
臧: zhad
瓯: oukw
瓴: lkrw
瓿: bulw
甏: bguw
甑: zgbw
甓: piuw
旮: gajo
旯: laoj
旰: gjog
昊: hcot
昙: tjos
杲: gcom
昃: zeor
昕: xboj
昀: yyod
炅: jsoh
曷: heov
昝: zjwo
昴: mcoe
昱: yuol
昶: ihyo
昵: niob
耆: qilo
晟: ugoi
晔: yeou
晁: icod
晏: yjon
晖: hvoi
晡: buof
晗: hjok
晷: gvok
暄: xrog
暌: kvot
暧: aioy
暝: mkob
暾: tyow
曛: xyoh
曜: ycof
曦: xiod
曩: nhoy
贲: biur
贳: uiur
贶: klke
贻: yikk
贽: vifr
赀: zivr
赅: gdkr
赆: jbkd
赈: vfkn
赉: ldlr
赇: qqkq
赍: jiur
赕: djkh
赙: fukc
觇: ijle
觊: jiee
觋: xige
觌: diue
觎: yure
觏: gzje
觐: jbne
觑: quhe
牮: jmrn
犟: jlgn
牝: pbnb
牦: mcnm
牯: gunk
牾: wunk
牿: gunk
犄: jink
犋: junb
犍: qmnz
犏: pmnc
犒: kcnk
挈: qpfu
挲: uadu
掰: bduu
擘: bouu
耄: mclm
毪: mumn
毳: cvmm
毽: jmmz
毵: sjsm
毹: uurm
氅: ihxm
氇: lumo
氆: pumo
氍: quom
氕: ppqp
氘: dcql
氙: xmqe
氚: irqi
氡: dsqd
氩: yaqy
氤: ybqd
氪: keqe
氲: yyqm
敕: iiuw
敫: jnbw
牍: dupd
牒: dppm
牖: yzpf
爰: yrpy
虢: gopj
刖: ytod
肟: wook
肓: hlwo
肼: jkoj
肽: tdot
肱: gsos
肫: vyot
肭: naon
肴: ycxo
肷: qmor
胧: lsol
胨: dsod
胩: kaob
胪: luou
胛: jxoj
胂: ufou
胄: vzyo
胙: zoov
胍: gxog
胗: vfop
朐: quok
胝: viod
胫: jkog
胱: glow
胴: dsok
胭: yjod
脍: kkos
脎: saom
胲: hdor
胼: pmok
朕: vfot
脒: miom
豚: tyou
脶: loon
脞: coot
脬: pcoz
脘: wjoe
脲: nnou
腈: jkoo
腌: yjod
腓: fwof
腴: yuoy
腙: zsox
腚: dkor
腱: jmoz
腠: czot
腩: njog
腼: mmom
腽: waom
腭: eeok
腧: uuod
塍: igot
媵: ykon
膈: geol
膂: lvfo
膑: bbob
滕: tgou
臌: guoy
朦: mgon
臊: scom
膻: ujod
膦: lbol
欤: yuyr
欹: qidr
歃: uaqr
歆: xblr
歙: xirr
飑: bnjs
飒: salx
飓: jujb
飕: szjy
飙: bnqx
殳: uujy
彀: gzuy
毂: guuy
觳: huuy
斐: fwfw
齑: jiwl
斓: ljwj
於: yufd
旆: pwfl
旄: mcfm
旃: vjfd
旌: jkfu
旎: nifb
旒: lqfv
旖: yifk
炀: yhhp
炜: wwhw
炖: dyht
炝: qlhv
炻: uihu
烀: huhh
炷: vuhv
炫: xrhy
炱: tdsh
烨: yehu
烊: yhhy
焐: wuhk
焓: hjhk
焖: mfhx
焯: vohu
焱: yjhh
煳: huho
煜: yuhl
煨: wwhn
煅: drhy
煲: bcrh
煊: xrhg
煸: bmhc
煺: tvhz
熘: lqht
熵: uhhk
熨: yyuh
熠: yihb
燠: yuhd
燔: fjht
燧: svhz
燹: xmuh
爝: jthc
爨: crph
焘: tcfh
煦: xuoh
熹: xiuh
戾: lihq
戽: huhu
扃: jshk
扈: huhb
扉: fwhf
祀: sips
祆: xmpt
祉: vipv
祛: qups
祜: hupk
祓: fupd
祚: zopv
祢: mipx
祗: vipd
祠: cipk
祯: vfpr
祧: tnpd
祺: qipb
禅: ujpl
禊: xipd
禚: voph
禧: xipk
禳: rhpy
忑: texx
忐: tjux
怼: dvyx
恝: jxfx
恚: hvtx
恧: nvex
